"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#FF8F28","Larson, J.","60","0","0"
"2","#FF8F28","Cruz, A.","0","40","0"
"3","#FF8F28","Sandbothe, T.","0","0","20"
"4","#FF8F28","Manns, K.","0","0","0"
"5","#FF8F28","Nwanebu, E.","0","0","0"
"6","#FF8F28","Clark, T.","0","0","0"
"7","#FF8F28","Gibbemeyer, L.","0","0","0"
"8","#FF8F28","Carter, K.","0","0","0"
"9","#FF8F28","Bruns, T.","0","0","0"
"10","#FF8F28","Michel, C.","0","0","0"
"11","#FF8F28","Wilson, E.","0","0","0"
"12","#1C9AD6","King, B.","0","0","0"
"13","#1C9AD6","Morgan, T.","0","0","0"
"14","#1C9AD6","Rosado, D.","0","0","0"
"15","#1C9AD6","Abbott, S.","0","0","0"
"16","#1C9AD6","Lowe, K.","0","0","0"
"17","#1C9AD6","Grant, N.","0","0","0"
"18","#1C9AD6","McClendon, D.","0","0","0"
"19","#1C9AD6","Lohman, M.","0","0","0"
"20","#1C9AD6","Freeman, S.","0","0","0"
"21","#1C9AD6","Handley, E.","0","0","0"
"22","#1C9AD6","Toliver, H.","0","0","0"
